BOARD_DATE,TKT_BEG,STOP_NAME,IN,OUT
20050819,175,"台南  ",19613,19692
20050820,175,"台南  ",21901,21240
20050821,175,"台南  ",23681,24762
20050822,175,"台南  ",17805,18433
20050823,175,"台南  ",16492,16813
20050824,175,"台南  ",16723,17164
20050825,175,"台南  ",16687,16823
20050826,175,"台南  ",21948,21964
20050827,175,"台南  ",22095,21501
20050828,175,"台南  ",23453,24472
20050829,175,"台南  ",16298,17569
20050830,175,"台南  ",13786,13988
20050831,175,"台南  ",10975,11295
20050901,175,"台南  ",1582,1644
20050902,175,"台南  ",17840,17133
20050903,175,"台南  ",18450,17747
20050904,175,"台南  ",20214,21533
20050905,175,"台南  ",16625,16602
20050906,175,"台南  ",13832,14147
20050907,175,"台南  ",14383,14497
20050908,175,"台南  ",14962,15664
20050909,175,"台南  ",20202,21240
20050910,175,"台南  ",21357,21237
20050911,175,"台南  ",24666,25974
20050912,175,"台南  ",14774,15608
20050913,175,"台南  ",13455,13092
20050914,175,"台南  ",13621,13524
20050915,175,"台南  ",14362,14420
20050916,175,"台南  ",27707,26400
20050917,175,"台南  ",23186,21008
20050918,175,"台南  ",26155,30789
20050919,175,"台南  ",18955,21671
20050920,175,"台南  ",13117,13116
20050921,175,"台南  ",12824,12710
20050922,175,"台南  ",12381,12482
20050923,175,"台南  ",24198,22095
20050924,175,"台南  ",21340,20759
20050925,175,"台南  ",24653,28051
20050926,175,"台南  ",13660,14540
20050927,175,"台南  ",11654,11674
20050928,175,"台南  ",11961,11831
20050929,175,"台南  ",12407,12313
20050930,175,"台南  ",23180,21049
20051001,175,"台南  ",20227,19636
20051002,175,"台南  ",9020,11008
20051003,175,"台南  ",13867,15177
20051004,175,"台南  ",11350,11308
20051005,175,"台南  ",12099,11810
20051006,175,"台南  ",13768,13707
20051007,175,"台南  ",30652,27020
20051008,175,"台南  ",26557,24287
20051009,175,"台南  ",22990,24074
20051010,175,"台南  ",28336,34873
20051011,175,"台南  ",15702,15998
20051012,175,"台南  ",12590,12750
20051013,175,"台南  ",12889,12817
20051014,175,"台南  ",23205,21734
20051015,175,"台南  ",22947,21794
20051016,175,"台南  ",25627,28435
20051017,175,"台南  ",13858,14668
20051018,175,"台南  ",11973,11811
20051019,175,"台南  ",12183,12216
20051020,175,"台南  ",12929,12698
20051021,175,"台南  ",24747,22631
20051022,175,"台南  ",22937,22215
20051023,175,"台南  ",25461,28641
20051024,175,"台南  ",13677,13962
20051025,175,"台南  ",11667,11834
20051026,175,"台南  ",12361,11802
20051027,175,"台南  ",13067,12194
20051028,175,"台南  ",23920,22190
20051029,175,"台南  ",21922,20711
20051030,175,"台南  ",24175,28056
20051031,175,"台南  ",13387,14169
20051101,175,"台南  ",10848,11065
20051102,175,"台南  ",11229,11118
20051103,175,"台南  ",11865,11937
20051104,175,"台南  ",21637,20130
20051105,175,"台南  ",22622,21839
20051106,175,"台南  ",24170,26606
20051107,175,"台南  ",12893,13569
20051108,175,"台南  ",11592,11582
20051109,175,"台南  ",11498,11381
20051110,175,"台南  ",13413,13374
20051111,175,"台南  ",24142,22998
20051112,175,"台南  ",23079,22185
20051113,175,"台南  ",27423,28839
20051114,175,"台南  ",14634,15234
20051115,175,"台南  ",11940,12993
20051116,175,"台南  ",11973,11658
